,id,geometry,samples
56,4,POINT (802519.9924382758 2183913.4455116824),"[[ 9.8600000e+02  1.1560000e+03  1.2330000e+03  1.4370000e+03
   2.1230000e+03 -2.9490697e-01  2.6519665e-01]]"
57,4,POINT (812661.9685230794 2180177.7013476426),"[[ 1.1820000e+03  1.5270000e+03  1.6170000e+03  1.8210000e+03
   2.4900000e+03 -2.3973115e-01  2.1256392e-01]]"
58,5,POINT (812548.2241076869 2180264.243736123),[[nan nan nan nan nan nan nan]]
59,5,POINT (812746.4528117683 2180235.8496391834),[[nan nan nan nan nan nan nan]]
60,5,POINT (812366.2496574898 2180076.8902549534),[[nan nan nan nan nan nan nan]]
61,5,POINT (811931.4826058605 2180083.437098894),[[nan nan nan nan nan nan nan]]
62,5,POINT (811938.0477938666 2180115.426067957),[[nan nan nan nan nan nan nan]]
63,0,POINT (805778.3754626596 2179592.49821418),"[[ 5.350000e+02  8.190000e+02  8.350000e+02  1.356000e+03  3.150000e+03
  -5.873016e-01  5.809285e-01]]"
64,0,POINT (805340.2669902405 2180002.8680414646),"[[ 6.3800000e+02  8.9700000e+02  9.7000000e+02  1.4220000e+03
   3.5480000e+03 -5.9640044e-01  5.7060647e-01]]"
65,0,POINT (805128.3042297964 2180314.412485644),"[[ 3.0600000e+02  6.5700000e+02  4.2800000e+02  1.1280000e+03
   3.6090000e+03 -6.9198310e-01  7.8796136e-01]]"
66,0,POINT (804282.7713353664 2181220.648772514),"[[ 2.620000e+02  5.670000e+02  3.370000e+02  1.000000e+03  4.017000e+03
  -7.526178e-01  8.451998e-01]]"
67,0,POINT (804294.2019941394 2182010.487084834),"[[ 3.7900000e+02  5.8500000e+02  5.0500000e+02  9.6200000e+02
   3.4260000e+03 -7.0830214e-01  7.4306792e-01]]"
68,0,POINT (803031.98507598 2182711.272315776),"[[ 3.5700000e+02  5.9900000e+02  4.0600000e+02  1.0570000e+03
   3.6720000e+03 -7.1950364e-01  8.0088276e-01]]"
69,0,POINT (802997.3444944271 2182862.9334645877),"[[ 4.030000e+02  6.000000e+02  4.170000e+02  1.014000e+03  3.834000e+03
  -7.293640e-01  8.038109e-01]]"
70,0,POINT (811537.6450744374 2180092.481076361),"[[ 3.0600000e+02  6.3500000e+02  4.3200000e+02  1.0220000e+03
   4.3860000e+03 -7.4706233e-01  8.2067245e-01]]"
71,0,POINT (813598.5310054515 2180404.8908175454),"[[ 3.010000e+02  6.040000e+02  4.650000e+02  1.032000e+03  3.631000e+03
  -7.147580e-01  7.729492e-01]]"
72,0,POINT (813722.8130082601 2180428.3291027653),"[[ 3.1600000e+02  6.1200000e+02  4.7200000e+02  1.1100000e+03
   3.7500000e+03 -7.1939474e-01  7.7640927e-01]]"
73,0,POINT (815112.434870421 2179815.365494294),"[[ 2.610000e+02  5.370000e+02  3.750000e+02  1.036000e+03  3.674000e+03
  -7.449537e-01  8.147691e-01]]"
74,0,POINT (818355.8360738828 2180549.509001061),"[[ 4.6000000e+02  6.8800000e+02  9.0600000e+02  1.1930000e+03
   2.3520000e+03 -5.4736841e-01  4.4383058e-01]]"
75,0,POINT (817933.911563315 2180634.0544241057),"[[ 2.980000e+02  5.320000e+02  5.930000e+02  9.550000e+02  2.715000e+03
  -6.723129e-01  6.414752e-01]]"
76,0,POINT (818829.4289375858 2180763.399522155),"[[ 2.5100000e+02  5.0800000e+02  5.3000000e+02  9.3700000e+02
   2.7150000e+03 -6.8476576e-01  6.7334360e-01]]"
77,0,POINT (821691.0603781282 2184175.6816424076),"[[ 6.110000e+02  8.990000e+02  7.410000e+02  1.358000e+03  3.238000e+03
  -5.653855e-01  6.275446e-01]]"
78,0,POINT (820787.2362683915 2184318.695590521),"[[ 6.870000e+02  8.990000e+02  8.960000e+02  1.323000e+03  2.896000e+03
  -5.262187e-01  5.274262e-01]]"
79,0,POINT (820885.2194239222 2184416.071999508),"[[ 5.0200000e+02  7.3500000e+02  5.5400000e+02  1.0590000e+03
   3.2490000e+03 -6.3102412e-01  7.0865107e-01]]"
80,0,POINT (821025.3134361163 2184351.322179844),"[[ 4.6000000e+02  7.7300000e+02  5.5000000e+02  1.1710000e+03
   3.4550000e+03 -6.3434249e-01  7.2534335e-01]]"
81,0,POINT (820398.7664049028 2184329.3940888774),"[[ 6.9600000e+02  9.7300000e+02  9.2300000e+02  1.2960000e+03
   2.7410000e+03 -4.7603661e-01  4.9617904e-01]]"
82,0,POINT (821254.3066418255 2184295.261644104),"[[ 5.500000e+02  7.860000e+02  6.650000e+02  1.266000e+03  3.062000e+03
  -5.914761e-01  6.431446e-01]]"
83,0,POINT (821422.5077316423 2184252.2685380005),"[[ 4.6700000e+02  8.1600000e+02  6.0300000e+02  1.2390000e+03
   3.2310000e+03 -5.9673834e-01  6.8544602e-01]]"
84,0,POINT (803174.4501387349 2182816.381363998),"[[ 4.5900000e+02  6.5000000e+02  6.3400000e+02  1.1030000e+03
   3.5550000e+03 -6.9084424e-01  6.9730246e-01]]"
85,0,POINT (803367.3408593477 2182366.4507892183),"[[ 2.7700000e+02  5.1100000e+02  3.2800000e+02  9.4400000e+02
   3.5090000e+03 -7.4577117e-01  8.2903308e-01]]"
86,0,POINT (804062.4885256644 2181291.2469383543),"[[ 3.080000e+02  5.100000e+02  3.960000e+02  9.590000e+02  4.788000e+03
  -8.074745e-01  8.472222e-01]]"
87,0,POINT (804891.2751629066 2180529.9105907558),"[[ 4.250000e+02  7.870000e+02  5.780000e+02  1.319000e+03  4.113000e+03
  -6.787755e-01  7.535707e-01]]"
88,0,POINT (804681.082767949 2180738.7851575115),"[[ 6.3200000e+02  9.3800000e+02  1.2190000e+03  1.5340000e+03
   2.9920000e+03 -5.2264631e-01  4.2104015e-01]]"
89,0,POINT (804696.8424930878 2180650.525017433),"[[ 4.000000e+02  7.200000e+02  6.350000e+02  1.381000e+03  3.644000e+03
  -6.700275e-01  7.032017e-01]]"
90,0,POINT (804585.5332190902 2181222.2856755895),"[[ 3.550000e+02  6.200000e+02  4.890000e+02  1.074000e+03  3.394000e+03
  -6.910812e-01  7.481329e-01]]"
91,1,POINT (809854.2543305862 2181885.121534152),"[[ 9.100000e+01  3.090000e+02  1.880000e+02  6.830000e+02  2.067000e+03
  -7.398990e-01  8.332594e-01]]"
92,1,POINT (807783.7984324143 2183371.787287402),"[[ 1.3100000e+02  2.3900000e+02  1.3600000e+02  6.8000000e+02
   2.1590000e+03 -8.0066723e-01  8.8148147e-01]]"
93,1,POINT (810030.6494469075 2181983.8043600353),"[[ 1.1400000e+02  3.0800000e+02  1.8800000e+02  7.8900000e+02
   2.2070000e+03 -7.5506955e-01  8.4300625e-01]]"
94,1,POINT (809970.9410663408 2182343.954694538),"[[ 1.3400000e+02  3.0000000e+02  2.0400000e+02  7.2300000e+02
   2.1060000e+03 -7.5062346e-01  8.2337660e-01]]"
95,1,POINT (810033.7110639405 2182830.1658076216),"[[ 1.240000e+02  2.650000e+02  1.930000e+02  7.150000e+02  1.997000e+03
  -7.656941e-01  8.237443e-01]]"
96,1,POINT (810108.7367916388 2181386.7053254223),"[[ 1.230000e+02  4.000000e+02  1.800000e+02  9.600000e+02  2.968000e+03
  -7.624703e-01  8.856417e-01]]"
97,1,POINT (810955.4548654851 2181043.805764697),"[[ 2.060000e+02  3.810000e+02  3.080000e+02  7.730000e+02  1.894000e+03
  -6.650549e-01  7.202543e-01]]"
98,1,POINT (808586.2040004795 2180028.706750142),"[[ 8.900000e+01  3.180000e+02  1.840000e+02  7.870000e+02  2.342000e+03
  -7.609022e-01  8.543151e-01]]"
99,1,POINT (808581.5343017303 2179886.967125735),"[[ 7.4000000e+01  2.7900000e+02  2.2800000e+02  6.6700000e+02
   1.5870000e+03 -7.0096463e-01  7.4876034e-01]]"
100,1,POINT (816550.7031730692 2182134.0123022837),"[[ 1.340000e+02  2.960000e+02  2.190000e+02  7.210000e+02  1.931000e+03
  -7.341715e-01  7.962791e-01]]"
101,1,POINT (817481.1769979177 2183892.8475744957),"[[ 1.370000e+02  3.470000e+02  2.100000e+02  7.630000e+02  2.135000e+03
  -7.203868e-01  8.208955e-01]]"
102,1,POINT (815845.7653390423 2184717.067228466),"[[ 1.5000000e+02  4.3700000e+02  2.4200000e+02  9.4700000e+02
   2.9940000e+03 -7.4526376e-01  8.5043263e-01]]"
103,1,POINT (815510.9037161259 2184318.0885035987),"[[ 1.080000e+02  4.310000e+02  1.950000e+02  1.002000e+03  3.201000e+03
  -7.626652e-01  8.851590e-01]]"
104,1,POINT (815376.4259203668 2184067.8408636805),"[[ 1.5200000e+02  3.6800000e+02  1.9900000e+02  7.9300000e+02
   2.2900000e+03 -7.2310007e-01  8.4009641e-01]]"
105,1,POINT (816739.0880301216 2184757.7527030054),"[[ 1.5000000e+02  3.9900000e+02  2.2700000e+02  9.0500000e+02
   3.0520000e+03 -7.6876265e-01  8.6154318e-01]]"
106,1,POINT (820914.9440912219 2184101.4550319198),"[[ 1.150000e+02  2.930000e+02  2.040000e+02  7.140000e+02  2.049000e+03
  -7.497865e-01  8.189081e-01]]"
107,1,POINT (821959.089614159 2183783.9261235893),"[[ 1.5700000e+02  4.0500000e+02  2.3600000e+02  8.8000000e+02
   2.6920000e+03 -7.3845655e-01  8.3879781e-01]]"
108,1,POINT (818363.9026396032 2182936.593957637),"[[ 1.3500000e+02  3.4800000e+02  1.9800000e+02  7.6300000e+02
   2.3800000e+03 -7.4486804e-01  8.4639257e-01]]"
109,1,POINT (816895.9893023642 2182949.333310728),"[[ 1.2300000e+02  3.1100000e+02  2.0900000e+02  7.2600000e+02
   2.1300000e+03 -7.4518639e-01  8.2129115e-01]]"
110,1,POINT (805713.2844130972 2184054.8196739587),"[[ 1.3700000e+02  3.0900000e+02  2.1300000e+02  7.3800000e+02
   2.0980000e+03 -7.4324888e-01  8.1566423e-01]]"
111,1,POINT (805664.0033269064 2182570.4133287747),"[[ 1.8800000e+02  4.5000000e+02  2.9800000e+02  9.1200000e+02
   2.1500000e+03 -6.5384614e-01  7.5653595e-01]]"
112,1,POINT (805964.6413417959 2181037.0093203452),"[[ 1.4000000e+02  3.9600000e+02  2.3700000e+02  8.4200000e+02
   2.0890000e+03 -6.8128771e-01  7.9621667e-01]]"
113,1,POINT (806887.3218322909 2179691.2498353706),"[[ 1.600000e+02  3.360000e+02  2.530000e+02  7.540000e+02  1.453000e+03
  -6.243712e-01  7.033998e-01]]"
114,1,POINT (809464.1389814222 2182706.936654831),"[[ 1.0100000e+02  3.0900000e+02  1.6300000e+02  7.7400000e+02
   2.5020000e+03 -7.8014940e-01  8.7767357e-01]]"
115,5,POINT (805962.5305877059 2182506.498374061),[[nan nan nan nan nan nan nan]]
116,5,POINT (805498.7578550281 2182755.2389527936),[[nan nan nan nan nan nan nan]]
117,2,POINT (806409.1958705685 2182838.175217774),"[[ 1.6600000e+02  4.1400000e+02  3.0800000e+02  7.2300000e+02
   4.8500000e+02 -7.8976639e-02  2.2320303e-01]]"
118,5,POINT (807677.4628830804 2181487.930033258),[[nan nan nan nan nan nan nan]]
119,5,POINT (808371.6294424544 2181618.571884804),[[nan nan nan nan nan nan nan]]
120,2,POINT (808832.5910749778 2181844.3442570046),"[[ 1.9200000e+02  5.3400000e+02  4.7000000e+02  1.0150000e+03
   8.4300000e+02 -2.2440088e-01  2.8408226e-01]]"
121,5,POINT (810037.2485359483 2181605.015418878),[[nan nan nan nan nan nan nan]]
122,2,POINT (811107.4861995366 2180600.2474490744),"[[ 1.7700000e+02  3.2200000e+02  4.7600000e+02  6.3500000e+02
   8.1900000e+02 -4.3558282e-01  2.6486486e-01]]"
123,2,POINT (813961.346249896 2181498.510669286),"[[ 1.590000e+02  2.330000e+02  2.750000e+02  4.600000e+02  9.210000e+02
  -5.961872e-01  5.401338e-01]]"
124,2,POINT (816509.8075718621 2181228.4564064373),"[[ 7.0100000e+02  9.4900000e+02  1.3040000e+03  1.6210000e+03
   2.3290000e+03 -4.2098841e-01  2.8213596e-01]]"
125,5,POINT (821281.9246572922 2183210.394025668),[[nan nan nan nan nan nan nan]]
126,2,POINT (806276.2562354398 2180420.8802670846),"[[ 1.3300000e+02  2.6500000e+02  3.0800000e+02  6.7000000e+02
   8.7500000e+02 -5.3508770e-01  4.7928995e-01]]"
127,2,POINT (808104.0015332729 2180409.913234005),"[[ 1.020000e+02  1.670000e+02  2.120000e+02  4.170000e+02  6.740000e+02
  -6.028538e-01  5.214447e-01]]"
128,2,POINT (804985.8939660128 2182128.557384345),"[[ 3.1100000e+02  3.7100000e+02  5.1100000e+02  6.0600000e+02
   8.8200000e+02 -4.0782124e-01  2.6633167e-01]]"
129,5,POINT (803823.2493747029 2183254.107135338),[[nan nan nan nan nan nan nan]]
130,5,POINT (806870.2425467796 2182180.4325653696),[[nan nan nan nan nan nan nan]]
131,5,POINT (806817.0289060025 2181754.5930042136),[[nan nan nan nan nan nan nan]]
132,5,POINT (814965.9648086745 2182052.7711617444),[[nan nan nan nan nan nan nan]]
133,5,POINT (813316.9975163637 2181421.6417576843),[[nan nan nan nan nan nan nan]]
134,3,POINT (817828.4808384723 2182946.4951271946),"[[ 22.         43.          1.         84.        185.         -0.622807
    0.9892473]]"
135,3,POINT (816553.7633454821 2183313.2864068835),"[[ 49.          50.          40.         118.         260.
   -0.67741936   0.73333335]]"
136,3,POINT (809776.9368004736 2180545.178109241),"[[1.0800000e+02 1.1200000e+02 5.4000000e+01 7.6000000e+01 9.4000000e+01
  8.7378643e-02 2.7027026e-01]]"
137,3,POINT (808445.4515375326 2180904.527063579),"[[ 57.          72.          49.          98.         174.
   -0.41463414   0.5605381 ]]"
138,5,POINT (812352.9767712236 2180122.6978805475),[[nan nan nan nan nan nan nan]]
139,5,POINT (812053.242122878 2180149.317895468),[[nan nan nan nan nan nan nan]]
140,4,POINT (811856.8575712561 2180174.210537298),"[[ 5.5800000e+02  9.7500000e+02  9.5000000e+02  1.3900000e+03
   2.8620000e+03 -4.9179047e-01  5.0157398e-01]]"
141,5,POINT (815430.728931352 2179546.5125836385),[[nan nan nan nan nan nan nan]]
142,5,POINT (815382.6020165867 2179749.311863142),[[nan nan nan nan nan nan nan]]
143,4,POINT (815476.6251739395 2179570.34679841),"[[ 8.0100000e+02  1.0780000e+03  1.1650000e+03  1.4350000e+03
   2.3490000e+03 -3.7087831e-01  3.3693796e-01]]"
144,4,POINT (815465.9825852507 2179366.50488979),"[[ 9.4900000e+02  1.3380000e+03  1.4450000e+03  1.6890000e+03
   2.9310000e+03 -3.7315530e-01  3.3957952e-01]]"
145,4,POINT (803550.1916791336 2181774.70100705),"[[ 6.4000000e+02  9.5300000e+02  1.1110000e+03  1.3570000e+03
   2.3500000e+03 -4.2294884e-01  3.5798901e-01]]"
146,5,POINT (802483.2119841913 2183981.8590397523),[[nan nan nan nan nan nan nan]]
147,5,POINT (802519.9924382758 2183913.4455116824),[[nan nan nan nan nan nan nan]]
148,5,POINT (812661.9685230794 2180177.7013476426),[[nan nan nan nan nan nan nan]]
149,5,POINT (812548.2241076869 2180264.243736123),[[nan nan nan nan nan nan nan]]
150,5,POINT (812746.4528117683 2180235.8496391834),[[nan nan nan nan nan nan nan]]
151,5,POINT (812366.2496574898 2180076.8902549534),[[nan nan nan nan nan nan nan]]
152,5,POINT (811931.4826058605 2180083.437098894),[[nan nan nan nan nan nan nan]]
153,5,POINT (811938.0477938666 2180115.426067957),[[nan nan nan nan nan nan nan]]
154,0,POINT (805778.3754626596 2179592.49821418),"[[ 5.6700000e+02  7.7600000e+02  8.3900000e+02  1.2770000e+03
   2.6390000e+03 -5.4553443e-01  5.1753879e-01]]"
155,0,POINT (805340.2669902405 2180002.8680414646),"[[ 5.0600000e+02  7.2000000e+02  8.2800000e+02  1.3420000e+03
   3.2400000e+03 -6.3636363e-01  5.9292036e-01]]"
